sigla_orgao  media_consumo_mes_2018_2019  consumo_mes_referencia  diferenca
       IFTM                       213336                   97175    -116161
       UFAL                      1073877                  748118    -325759
        MME                       193282                  147346     -45936
     UFCSPA                       158442                  114107     -44335
       UFSM                      1377296                  814021    -563275
        MRE                       612387                  430366    -182021
      ANEEL                       236958                  157890     -79068
        AGU                      1197189                  651963    -545226
       UFCA                       158397                   60722     -97675
        UFV                      1334200                  943600    -390600
