mes_ano_corrigido  consumo_mes_referencia
       2021-09-01                  114107
       2021-09-01                     630
       2021-09-01                  144152
       2021-10-01                  111046
       2021-10-01                     750
       2021-10-01                  192564
       2021-11-01                   52123
       2021-11-01                  122665
       2021-11-01                  135462
       2021-12-01                  136130
       2021-12-01                  171890
       2021-12-01                   44439
       2022-01-01                  158439
       2022-01-01                  144891
       2022-01-01                   48665
       2022-02-01                  168776
       2022-02-01                   44015
       2022-02-01                  187935
       2022-03-01                   39824
       2022-03-01                  153738
       2022-03-01                  205529
       2022-04-01                  149702
       2022-04-01                  513435
